,brands,flavors,characteristics,text
2480,,нет вкусовой характеристики,мыло,мыло
2481,,пряный,,пряники
2482,,,для пиццы,для пицц
2483,,,кондиционер,кондиционер
2485,вафли,,,вафли gr
2486,,основа,для сока,основа для сока
2487,,черешня,,йогурт чере
2488,камар,,,камар
2489,,соленая,для засолки рыбы,смесь для засолки рыбы
2490,,,трубочки,трубочки ж
2491,cafe,кофе,,кофе же cafe
2492,Ситниковское,,,ситниковское
2493,,,мусорные,мусорные баки
2494,Майская,,,майская
2495,,пюре,котлеты,пюре с котлеты
2496,,острый,,кетчуп остры
2497,,,батон,батон для се
2498,корнишоны,,,корнишоны
2499,,"маслинный, гриль",,маслины гриль
2500,,шпинат,,шпинат
2501,марани,,,марани
2502,,,для спины,щетка для спины
2503,,отвар укропа,,отвар укропа
2504,зонт,,не имеет явного вкусового профиля (это предмет для защиты от солнца),зонт
2505,айитон,,,айитон
2506,скитл,,,скитл
2507,наполеон,,,наполеон имел
2508,,кола,мармелад,мармелад кола
2509,антипыпыль,,антипийловый,антипыпыль
2510,,йод,вареники,вареники йода
2511,,ветчина,,ветчина из
2512,клин,бекон,,клин бекон
2513,ланге,,,ланге
2514, Rico ,  в тексте, хрустящие,рико
2517,рукою,,ручная выпечка,рукою
2518,,творожный,,творошок
2519,,,гель,детский гель
2520,ФДК,творог,,блины фдк с творогом
2521,,плавленный,,сыр плавленный
2522,,,"цветы, тюльпан",цветы тюльпан
2523,,,средство от снятия лака,средство от снятия лака
2524,,куриный,,куриные ломтики
2525,,икру,,икру
2526,биг,лангустина,,биг лангустины
2527,iphone,,,iphone 16
2529,,бульонный,кубики,кубики бульоны
2530,броокли,,,броокли
2531,,хрен,мари,хрен мари
2532,клин,само,,клин само
2534,пенка,,для умывания,пенка дл
2535,без лакторы,,,без лакторы
2536,,шоколадный,,шокола
2537,Maggi,,сухая,сухая смесь maggi
2538,маринованное,,маринованное,маринованное м
2539,без коллекция,, вкусовых нот или характеристик,без коллекция
2541,корне,,корневые,корне
2542,,,5л,вода 5л
2543,,без сахара,,чаю без сахара
2544,,котлетный,,для котлеты
2545,,банановый,,бананы
2546,,вкусный,десерт,десерт вкусный день
2547,дживанши,,,дживанши
2548,,,тесто для куличей,тесто для куличей
2549,haigh hills,,,хай hills
2550,,,hdd,hdd
2551,стиоаль,,,стиоаль
2552,,"лед, мороженое","солодок, крем, шоколад, ваниль",ice cream
2553,агрикола,,,агрикола
2554,ассорти,,,самокат ассорти
2555,,козлый,сыр,сыр козий купить
2556,,,истории,истории
2557,plan,,,plan
2558,пельм,,,пельм
2559,бабл,с тапиокой,,бабл ти с тапиокой
2560,сырники,,,сырники⁹
2561,,булка,для ьургерп,булка для ьургерп
2562,,рулевой,,рулевой
2563,питьевой лёд,безвкусный,прохлаждающий,лёд пи
2564,,огурцы свежии,,огурцы свежии
2565,Выленве,,,выленве
2566,Tros,,"безалкогольный, кофеин",tros
2568,malle,,,malle
2569,батон,лу,,батон лу
2570,,лаймовый,,лайм
2571,мартин,семи,,мартин семи
2572,,,мужское,носки мужское
2573,,,,сыр мягий
2574,,под кал,банка,банка под кал
2575,,мандарин,,мандарины
2576,,,туалетная вода,туалетнаявода
2577,сырассор,,,сырассор
2578,,свечный, или других характеристик,свечя
2579,Tvbertki,,,твблетки
2580,отто,,,котлеты отто
2581,,,для мочи,банки для мочи
2582,,сухой чеснок,,сухой чесной
2583,,фруктовый,детское пюре,детское пюре фрукто
2584,, тушеная,тушеная,говядина тушеная
2585,Lancome,,,lancome hypnose
2586,lit,,,lit
2587,гречкскй,,,йогурт гречкскмй
2588,,ягодное,,ассорти ягодное
2589,"La Roche-Posay, Consiler",,,консилер la roche posay
2590,ротфронт,,,ротфронт
2591,,тушная,,тушная
2592,,холодный,,холодец то
2593,рефрен,,пельмень,пельмени рефрен
2594,санта,,,санта бри
2595,monti dew,,,monti dew
2596,черная кровь,,хорошая девочка,хорошая девочка черная кровь
2597,силы,,семечки,семечки сил
2598,супчик,,,супчик
2599,,апельсиновый,,апельсины си
2600,текила,,,текила
2602,,,спрей назал,спрей назал
2603,,пицца,пепе,пицца пепе
2604,dt,,для собак,лакомство для собак dt
2605,Яшкино,печенье,,печенье яшкино
2606,cr,блин,,блин cr
2607,,зернотвороденое,,зернотвороденое
2608,,яблочный,,яблоки су
2609,,черный,,чёрный
2610,самокат,многозлаковый,,многозлаковый батончик самокат
2611,,,для мусора,пакеты для мусора
2613,муравейник,муравьиный,,муравьиный домик
2614,молотое,кофе,,кофе молотое
2615,взрос,,взрос (товар для взрослых),взрос
2616,ziegg,,,ziegg
2617,Шейный,,нейтральный вкус,шейный
2618,,,для окон,для окон
2619,караваев,,,блины караваевы
2620,,готовые вареники,,варенники готовые
2621,,,бизнес ланч,бизнес ланч
2622,,,для волос,масло для волос
2624,,,для школы,ножницы для школы
2625,редьуол,,,редьуол
2626,кадаиф,,,кадаиф
2627,,,"туалетная, 3 слоя",туалетная бумага 3 слоя
2628,Яицтворог,,,яйцатворог
2629,,перец чили,,перец чили св
2630,,,,от вольчека
2631,,,для сантехники,средство для сантехники
2632,,,"для очистки труб, в пакете",средство для очистки труб в пакете
2634,конкильолы,,,конкильолы
2635,,для печени,,для печен
2636,,для животных,"собак, влажный",для животных собак влажный
2637,агрокомплекс,,,паштет агрокомлекс
2638,корона,,,корону
2639,Dove,,"soap, beauty bar",dove
2640,,,"пакеты, мусор, 60",пакеты мусора 60
2641,Red Bull,энергетический,,энергетический напиток
2642,фруто,няня,,фруто няня
2643,,мороженое,"сливки, шоколад",мороша
2644,,,для умеренных,трусы для умеренных
2646,швабра,,,швабра
2647,,печенье,,печенье
2648,губка,,,губка
2649,,,клей,клей
2650,Ессенути,минеральный,,минеральная ессентуки 7
2651,hupper,,,hupper
2652,,,питание для новорожденных,детское питание для новоро
2653,,,лампа e2,лампа е2
2654,,десерт,на 0 калл,десерт на 0 калл
2655,Свитлогорье,,догорить,свитлогорье догорите
2656,,стеклянная,,пипетка стеклянная
2657,,домжайский,котлеты,домашний котлеты
2659,"2,3",,,"кефир 2,3"
2660,,,масло для массажа,масло для массажа
2661,цезарь,совс,,цезарь совс
2662,желе,,в пачке,желе в пачке
2663,,с грибами,,с грибами
2664,лимончелла,лимонный,,лимончела
2666,Йоргу,,неизвестен,йоргу
2667,персил,персильный,,персил
2668,энни,,,энни
2669,кулька,,,кулька
2670,,,,lasagne
2671,дед,тостовый,,дед тостовый
2672,moti,,,moti
2673,Red Bull,energetic,,энергетик
2674,,черный перц,,черный перц
2675,,,с собой,попить с собой
2676,салями миланская,,миланская,салями миланская
2677,эго,творожная,,творожная масса эго
2678,,грец,,грец
2679,Pringles,,чипсы,чипсы с pringles
2680,,апельсин,,апельсин
2681,Герметик,,,герметик
2682,,,тест,теста слон
2683,сок7,,,сок7
2684,,корм влажный,,корм влажная
2685,,мака,,мака
2686,тай,,,тай
2687,,,одежда,одежда
2688,,плавленный,,сыр плавленым
2689,пармкхан,,,пармкхан
2690,olmi,,,olmi
2691,,,о паласе,о паласе
2692,,творожный,,твороженнаяьмасса
2693,итальянские,,,итальянские при
2694,,кисло-свежевый,,кетчуп
2695,мойар,,,мойар
2696,харчл,,,харчл
2697,степплер,,,степплер
2698,,сыр,в нарезке,сыр в  нарезке
2700,,курица,,суп курица
2701,мраморная,,,мраморная мясо
2703,,иогурт,,иогурт
2704,,"курица, салат цезарь",круассан,круассан с курицей и салатом цезарь
2705,,Засыпай,,засыпай
2706,,традиционный,,хлеб традиц
2707,оливковая,оливковый,,масло оливкой
2708,мажжит,,,мажжит
2709,,мультифрукт,,мультифрукт
2710,прингл,,,прингл
2711,питихайя,,неизвестны,питихайя
2712,,калбас,,калбаса
2714,,пасхальный,агнец,пасхальный агнец
2715,,,,курасан
2716,дача,,,для дача
2717,,лососёвый,,с лососем
2718,kmorozen,,,kморожен
2719,шамп,,,шамп то
2720,сникерс,торт,,торт  сникерс
2722,риет,,,риет
2723,pierre,,,творог pierre
2724,,выпечка,не связано напрямую с типом продукта/названием товара,выпечка
2725,кисадтлия,,,кисадтлия
2726,чупа чупы,,хрустящие,чупа чуть
2727,,сырники,,сырники готовое
2728,,"яблочный, укус",,яблочныйуксус
2729,фанта,,,фанта
2730,,вино,,виног
2731,,,крупная,терка крупная
2732,Red Bull,citrus,,энергктик
2733,tresemmé,,,шампунь tresemmé
2734,,шоколадный,,шоколадное яйцо
2735,,корм для кошек,,корм для кошек
2736,вспенивател,,вспениватель,вспенивател
2737,pra,творог,,творог pra
2739,,,,сок из
2740,,,формочки,формочки для ке
2741,без сахара,,без сахара,без сахара
2743,,джалеби,,джалеби
2744,,фундуковый пекан,,фундуковый пекан
2745,Чупс,,,чупс
2746,Сенежская,"лимон, мята",,вода сенежская лимон и мята
2747,Tina,,,tina
2748,тетрадь,,,тетрадь б
2749,нутрилак,смесь арана,,нутрилак смесь аран
2750,,готовой хлеб,,хлеб готовое
2751,libresse,,,libresse
2752,Ritter,,,ritter да
2753,не известен,,не молоко,не молоко
2754,,,для туалета,ароматизатор для туалет
2755,albert,сыр,,albert сыр
2756,Арктик,освежительный,,освежит
2757,,,стиральный порошок,стиральный порошок у
2758,бройлер,цыплёнок,,грудки цыпленка бройлера
2759,,минераль,,минераль
2760,,рыбный,а сол,рыба а сол
2761,,перец,,на перец
2762,самокат,вафельный,,вафельный пломбир самокат
2763,,,женская,парфюмерия женская
2764,диазолин,,,диазолин
2765,смуз,,,смуз
2766,,сочная,,сочная грудка
2767,,курные,крылья,курные крылья
2768,Buskin,,,buskin
2769,,без определения вкуса,жевательная резинка,жевательная резинка
2771,чуп,,хрустящие,чуп
2772,тантум,,,тантум
2773,,,"свеeto (существует вероятность, что это слово имеет значение 'сладкий', но не ясно из контекста)",my swee
2774,,детские,конфеты,конфеты для детей
2775,трибучки,с трубочкой,,с трубочки
2776,coconut,"молоко, кокосовое",,молоко coconut
2777,кольасп,,,кольасп
2779,смайк,,32,смайк 32
2780,,первый,,первый вкус
2781,Oreo,мороженое,,мороженое oreo
2783,,лечебная вода,,вода лечебная
2784,,открытка,на 23,открытка на 23
2786,,греческий,,йогурт греческий
2787,,энзимный,,энзимная
2788,презики,презиковый,,презики
2790,haas,мороженое,,мороженое haas
2791,veet,, в тексте,veet
2792,,,фонарик для маникюра,фонарик для маникюра
2793,,куриное,,филе куриное
2794,,мороженое,ведерко,мороженое ведерко
2796,паувер,,банк,паувер банк
2797,читос,,,читос
2798,,лук репчатый,красный,лук репчатый красный
2799,,молочный,,молочный коктейль по
2800,,,детский стир,детский стира
2801,чтиабатта,,,чтиабатта
2802,,апельсиновый,,сок апельсиновый
2803,dannisimo,,"итальянский аромат, пряный, солодкий",dannisimo
2805,terre,,,terre
2806,,черешня,,черешн
2808,,оливковый,,оливки шт
2809,,,крем гель для интимной,крем гель для интимной
2810,,картофельный,пюре с котлетой,картофель пюре с котлетой
2812,сандалии,,44,сандалии 44
2813,барни,абрикосовый,,барни с абрикосом
2814,сулугм,,,сулугм
2815,cook,,добрый,добрый cook
2816,корм2,,,корм2
2817,,творожный,десерт,творожный десерт
2818,,,гель для душа,гель для душа
2819,bobbi,,,bobbi
2820,цветные,,цветные,цветные
2821,,,для интимной гигиены,салфетки для интимной гиг
2822,,ricotta,,рикотта с
2823,алькаг,,нет конкретного описания вкусовых нот,алькаг
2824,,,несмываемый для волос,спрей несмываемый для волос
2826,нулевая шесть,,,вода 0 6
2827,,,котле,котле
2828,барные,,трубочки,трубочки барные
2829,Фрутон,,,фрутон я
2830,,молочной,для тела,молочко для тела
2831,ваты,,ваты,ватные
2832,,,соль для рим,соль для рим
2833,лаваццо,,,лавацо
2834,,маринованные огурцы,,огурцы маринованные
2835,Listerine,,,listerine
2836,пикгик,,неизвестен вкус,пикгик
2838,скотч,,малярный бумажный,скотч малярный бумажный
2839,,сладкая,,воды сладкая
2840,чешское,,,пиво чешское
2841,,с газом,,с газом
2842,,,мужские,брюки мужские
2843,,силикон,,пластырь силикон
2844,магнат,,,морожегое магнат
2845,,персиковый,,фрукт персик
2846,доуж,,хрустящие,доуж
2849,Северная,,,творог северная
2851,,"копченый, курица",грудка,курица копченая грудка
2852,,,лапша,лапша
2853,вола,мицелярный,,мицелярная вола
2854,,шоколад,на палочке,шоколад на палочке
2855,,белковый,,коктель белковый
2856,Coca Cola,,,coca cola в
2857,сникерс,мороженое,,мороженое сникерс
2858,,мясной,,мясо
2859,,плавленый,сыр,плавленый сыо
2860,pp,краб,,крабов пп
2861,гресеский,,,гресеский
2863,,,браслет,браслета
2864,,,"кал, контейнер",контейнер под кал
2865,tetraдь,,,тетрадь de
2866,,малина,,малина прокладки
2867,омл,,,омл
2868,бритва,,,бритва
2869,мус,,,мус
2870,aroyd,,,aroyd
2871,,,багет,багет
2872,киндкиндер,,,киндкиндер
2873,,,легкое,хлеб легкое
2874,минутка,,,стейк минутка
2875,bamboo,, в тексте какой-либо вкус или описательные характеристики,bambo
2876,Sula,,,sula
2877,кока,яичный,,яйца кока
2878,,плов,,для плова
2879,мираторг,,,наггетсы мираторг
2880,киты,еды,,каша киты еды
2882,,со вкусом воды,,вода со вкусом
2884,cafe mimi,,кофе,cafe mimi
2885,,,бомбочки,бомбочки
2887,,масло,,оливка масла
2888,перепеличное,перепелиный,,перепелийн
2889,e,,,энергетики e
2890,Слбач,,,слбачий корм
2891,"памперсы, merri",,,памперсы merri
2893,,,"женские, черные",колготки женские черные
2894,спмокат,колбасный,,колбаса спмокат
2895,,яичный,,для яиц
2896,,печень трески,по мурман,печень трески по мурман
2897,полироль,,,полироль
2898,Nut & Go,almond butter with honey and chia seeds,"organic, non-GMO, gluten-free, dairy-free, soy-free",nut&go
2900,да,лаваш,,да лаваш
2901,соломка,,,соломка
2902,невидимки,,носки,носки невидимки
2903,Glorris,,,glorris
2904,попорн,,,попорн
2905,nika,,котлеты,котлеты ника
2906,маршем,,,маршем
2908,,soy,,соевый соус
2909,,кури,охлажденное,кури охлажденное
2911,,сладкое,,сладкое
2912,0 33,,,газированные напитки 0 33
2913,шот,имбирный,,шот имбирный
2914,,,насадка для газа,насадка для газа
2915,,крем,подарок,подарок крем
2916,свр,,палочки,свр палочки
2917,каблч,,,каблч
2918,хин кали,,,хин кали
2919,кага,детская,,кага детская
2920,,,"ручка, стирайка",ручка стирайка
2921,,,корзиночка,корзиночка с
2922,,,правильное,правильное питание
2923,,,о в,стейк о в
2924,,рожки,,рожки из
2925,,тушонка для собак,,тушонка для собак
2926,форма,,виде,форма виде
2927,,зелёный горошек,,зелёный горошек
2928,самокат,,китайские,китайские пельмени самокат
2929,харрис,,,харриса
2930,,,стол,стол он
2931,сервелат,колбасный,,колбаса сервелат
2932,,,порошок 2в1,порошок 2в1
2933,,,,ролл фи
2934,тайланд,рис золотой,,рис золото тайланда
2936,ролтон,,,приправа ролтон
2938,хасс,авокадо,,авокадо хасс
2939,,без лактозы,,без лактозы
2940,пластелин,,не имеет определенного вкуса,пластелин
2941,куиаб,,,куиаб
2942,, из сельди,,икра из сельди
2943,,соус помидор,,соус поми
2944,,,круассаны,круассаны
2945,,,хрустящие,хрутка crispy
2946,черепаново,,,черепаново
2947,пантенол,,листы,листы пантенол
2948,,десерт,,десерт
2949,,оливковый,,оливки
2950,помидоры фламенко,помидорный,,помидоры фламенко
2951,huda beau,,,huda beau
2952,КФС,,,кфс
2953,редбул,,,редбул
2954,чупачук,оригинальный,крижавый,чупачук
2955,клон,,,клон
2956,,,минеральная,минеральная вода минералка
2957,,,,пелемени
2958,мишка тедди,,игрушечный,мишка тедди
2959,вискас,,подушка,вискас подушке
2960,baby goo,,без категории упомянутой,baby гоу
2961,круаэх,,,круаэх
2962,bambolina,пуре,,bambolina пюре
2963,,ананасовый,,ананасовый
2965,,гриб,печенье,печенье грибо
2966,симка,симкарта,,симка симкарта
2967,летакая,,,летакая вода
2968,,,шёф,я шеф
2969,,пирожное,,пирожное
2970,добрый,,колода,колода добрый
2971,,,тесто для пельменей,тесто ля пельме
2972,граеол,,,граеол
2973,,моцарелла,детский,моцарелла детский
2974,,,пилка,пилка дл
2975,Clinique,,,clinique
2976,Барни,сладкий шоколад с привкусом манго,"содержит какао, сойбекспротеин и аминокислоты",на поле
2977,мили,,коврик,коврик мили
2978,,лёгкий,,сыр лёгкий
2980,,лук репчатый,,лук репчатый
2981,мариедал,,,мариедал
2982,иагги,,,иагги
2983,,,3,подгузник 3
2984,пул,,,пул
2985,румяна,,,румяна
2986,,пищевой краситель,,пищевой краситель
2987,,слабосолный,,слабосолк
2988,,кури,,кури
2989,адидас,,,адидас духи
2990,хостерсы,,,хостерсы
2991,мафия,,неизвестно (текста нет информации о вкусовых нотах),мафие
2992,,дрожжи,,дрожжи в
2993,Kinders,черника,,черника kinder
2994,"Heinz, Knorr, Nestle","tomato, BBQ, mushroom, teriyaki, tartar","varies by product (creamy, spicy, thick, versatile)",соусы
2995,инунель,,,инунель
2996,,,канцелярия,канцелярии
2997,лодочка,хачапури,,хачапури лодочка
2998,Wood,,крем для рук,крем для рук wood
2999,,,туалетная,туалетная бумага го
3000,tom,,,tom g
3001,sky,крем,,крем sky
3002,алочки,,,алочки
3003,медоф,мед,,медоф
3004,,куриная,варено,грудинка куриная варено ко
3005,,,пакет,пакет
3006,Рублевский,ветчина,,рублевский ветчина
3007,плавленныф,,,плавленныф
3008,черр,,,черр
3009,Pantene,,,pantene
3010,,гуляш,,гуляш
3011,Rash,,,rash
3012,,вят,,сметана вяту
3013,bull,,,под bull
3014,помидлрры,помидорный,,помидлрры
3015,,цветной,,цветная
3016,,айран,,айран
3017,Hochland,плавленный,,сыр плавленный  hochland
3018,,сырный,твердый,сыр твердый года
3019,sheba,,,sheba и
3020,,йогурт,с шари,йогурт с шари
3021,,,баночки,баночки
3022,coconut noir,кокосовый,,coconut noir
3023,Chunky,,hrusty (chunky),chunky
3024,,,туалет для кошки,туалет кошка
3025,,сливочное,,масло сливочное сол
3026,,мороженое пай,,мороженое пай
3027,шоколданая,шоколадный,,паста шоколданая
3028,,,,чай  ти
3029,,безлаctic,,молоко без
3030,,протеиновое,печенье,печенье протеинрвое
3031,,,,лист салат
3032,,детское пюре,инд,детское пюре инд
3033,,до я,палочки,палочки до я
3034,,,,для бургер
3035,тазик,,пластмассовый,тазик пластмассовый
3036,,,батон,батон не
3037,Кока-Кола,кола,,кола б
3038,айсторе,,,айсторе
3039,Docira,,,docira
3040,,жидкий,корм для кошек,жидкий корм для кошек
3041,натуралный,,сок,сок натуралный
3043,ветна,,,ветна
3044,,селедка,в заливке,селёдка в заливке
3045,цей,тортилья,,тортилья це
3046,elicatesse,,,elicatesse
3047,Яшкино,,"печенье, печёнки",яшкино печ
3048,барбарис,,,барбарис для плова
3049,,клубничное,,клубничное мороженое
3050,,молочный,корж,молочные корж
3053,дом,,пакеты,дом пакеты
3054,гельдзе,,,гелдзе
3055,земелах,,,земелах
3056,валик,лип,,валик лип
3057,grucka,,,гручка
3058,вооос,,маска,маска для вооос
3059,,огурец,,огурец о
3061,бариллп,,,макароны бариллп
3062,,завтрачный,,завтрак
3063,липучка,,,липучке
3065,sunny,,,sunny
3066,стрепсил,,,стрепсил
3067,,,handicap,handicap
3068,лола росса,,,лола росса
3069,,,игрушки,toys
3070,Milka,шоколадный,mmmax,шоколадка милка mmmax
3071,,,таблетки,таблетки
3072,,"сметана, банан",,сметанабанан
3073,BarresTO,,канадский десерт,barresto
3074,акрило,,,акрило
3076,Брыкин,бор,,брыкин бор
3077,,малинный,,малина в
3078,Сникерс,,,сникерс именно
3079,,для молока,,трубочки для молока
3080,,рол (нет определенного вкуса),нет дополнительных характеристик,рол
3081,seed,,,икра seed
3084,,,клизма,клизма
3085,shu,,,shu
3086,,копчёное,,копчённое мясо
3087,,киви,,киви
3089,торталеки,,,торталеки
3090,,вареная,,вареная колбаса
3092,,вареники,,вареники
3093,,вафельный,нет сведений о других характеристиках,вафля ко
3094,Jumping,,"нет прямого описания характеристик, за исключением того, что это якобы какао-батон",джамплинг
3095,macco,,,macco
3096,мерэ,,,мере
3097,,начос,чипсы,начос чипсы
3098,переноска,,"переносной, легкий",переноска
3100,иегур,,"зеленый, сладкий",иегур
3101,Йуми,,"соль, перец, лимон",йуми
3102,h a,,семечки,семечки х а
3103,,,масло,масло сл
3105,,,ассорти,ассорти чай
3106,,слабой,,слабо со
3107,лесной бальзам,,зубная паста,лесной бальзам зубная паста
3108,"Whiskas, Purina One, Iams","fish, chicken, beef","dry, crunchy, complete and balanced",корм кошачий сухой
3110,,хорошее дело,,фарш хорошее дело
3111,,,,стрипсы пол
3112,,,,икра
3113,гидроге,,,гидроге
3114,кириешки,,,кириешки
3116,крабовое,крабовый,,крабовое мяст
3117,мистерия,,,мистерия
3118,,шиш,,шиш
3119,tac tick,,,tac тик
3121,,,"закуска, для вина",закуска у вину
3122,honour,,,honour
3123,Айфоновский,,,айфоновский зарядное
3124,скитлз,,,скиитлз
3125,,изюм,творожная,творожная масса с изюмом
3126,марсианка,,,марсианка
3127,Polar,,"Ice cream, frozen dessert",polar
3128,Белевская,,,белевская
3129,,тыквенный,,тыквенный суп
3130,kndee,, какой-либо вкус или характеристика непрямо связанная с продуктом,kndee
3132,сдобс,,,сдобс
3133,,креветочный,,креветки
3134,манка,,,манка
3135,домашний,,фарш,фарш домашний
3137,том,ям,,лапша том ям
3138,,сладкий,сандвич,сладкий сандвич
3139,чемнокодавилка,,неизвестен,чемнокодавилка
3140,Zotman,,,zotman
3141,броколи,,броколи,броколо
3142,Майзрнез,"сладкий, корн-блюдо",хрустящие,майзрнез
3143,Бочкари,кола,зеро (безалкогольный),бочкари кола зеро
3144,,молоко,,молоко
3145,,куриное,,мясо куриное
3146,,,для ковров,для ковров
3148,,,,вода с
3149,"ms, ekzo","мороженное, ананас",,мороженное ms круизо эkzo с соком ананаса
3150,,,водостойкий,водостойкий маркер
3151,стоп цистит,био,,стоп цистит био
3152,,шоколадный,,шоколадку
3153,Милка,,,милка
3155,чуабатте,,,чуабатте
3156,карто,,"крекеры, солодок",карто
3157,,горчичный,,соус горчичный
3158,ряженка,варенец,,ряженка варенец
3159,,кошечьи,,паштет для кошек
3160,Сьеос,,,сьеос
3161,,пивные,,пивные кружки
3162,корондоги,,,корондоги
3163,,,"пирёжный, рисовый",плов
3164,,яичный,,яиц
3165,цезарь,цезарский,традиционный заитареный коктейль,цезарьщ
3166,,"говядинный, копченый",копченое ,говядина копче
3167,бврилл,,,бврилл
3168,имбирь,лимон,,лимон имбирь
3169,planto,,"веганские, без глютена",planto
3170,добрый,кола,,добрый кола 2 лит
3171,,,ролы,ролы
3172,чебуреки,,"пирожные, запечённые",чебуреки эх
3173,Biotta,,,biotta
3174,Zewa,,8,zewa 8
3175,,,унитаз,унитаз
3176,Rex,,,rex
3177,тертрадь,,,тертрадь
3178,,,,от горла
3179,Олег Сирот,,,олег сирот
3180,S,сметана и зелень,,чипсы s сметана и зелень
3181,эдель,,,эдель
3182,holy corn,,хрустящие,holy corn
3183,,перец,,перец у
3184,nemoloko,,,дезодорант nemoloko
3185,,попкорн,не,попкорн и не
3186,,,,бургер
3187,rio,чиа,,чиа рио
3188,перец,шее,,перец шее
3189,,,крем с показателем SPF 30,крем spf 30
3190,Стародворские,пельмены,,стародворские пельмени
3191,,,"бумажное, полотенце",полотенце бумажное
3192,,молочный,,сосиски молочные
3193,,,масло,масло дарит
3194,0 5,,чай,0 5 чай
3195,,,беременный,baby
3196,щи,квашеный,,щи из квашеной
3197,laifen,,,laifen
3200,,,кукурузные,кукукур
3202,Нежская,,,вода нежская
3203,,томат,гренки,гренки с томатом
3204,ассорти,,,сыр ассорти
3205,ECCA,,,ecca
3206,,,для пиццы,основа для пицыы
3207,,тушенный,,тушен
3208,,картофельный,,картоф
3210,одо,,тряпки,тряпки одо
3212,,лепучки,,лепучки
3213,,кофейный,,кофейный
3214,афркадо,,,афркадо
3215,планты,,"растительные, веганские",plants
3216,адрин,,,адрин
3217,пищевая,,с,пищевая с
3218,камедь,,,камедь
3219,британские пекарни,салат,,салат британские пекарни
3220,сейтан,,,сейтан
3221,pramala,,,pramala
3222,delicados,,,delicados
3223,бенто,торт,,бенто торт
3224,,,"морской, водородный",рака
3225,TAOО,,,таоо
3226,горци,,,горци
3227,,"пастеризованное, сливки",,сливки пастеризованное
3228,,творожный,,сырок творожный
3229,,мороженое,брикет,мороженое брикет
3230,проклпл,, в тексте,проклпл
3231,немкафе,кофе,,кофе немкафе
3232,пармезан,"твердый, пармезан",,твердый пармезан
3233,heinz,кисло-свежий,,кетчуп heinz
3234,,уксусная,кислота,уксусная кислота
3235,сухарь,,корм,сухрй корм
3236,валик,,строительный,валик строительный
3237,,,нерафинированное,масло нерафинированное
3238,фичташки,,,фичташки
3239,ДД,сухофруктовый,,сухофрукты дд
3240,,,,фили бейкер картофель
3241,,,,кодба
3242,,сливочный,,сливки
3243,птицемолоко,,,птичее молоко
3245,,магниевая,,магниевая сол
3246,простор,,родные,родные простор
3247,,маковый,булка,булка с маком
3248,Россия,,сыр,сыр россии
3249,Lays,225,,чипсы lays 225
3250,Бабаев,,,бабаев
3251,Gosa,,,gosa
3252,черивова,черешня,,черивова
3253,,ягодный,в пакетиках,чай в пакетиках с ягодами
3254,сулуг,,,сулуг
3255,Невские Берега,,не вкусовые продукты,невские берега
3256,тавр,,,тавр
3257,,,"горшечные, цветы",горшечные цветы
3258,тира,,нет упоминания вкусовых нот или профилей,тира
3259,tiret,,,tiret и
3260,,сдобный,,сдобная
3261,унив,,мука,мука унив
3262,российская,шоколад,,шоколад российская
3263,,питьевой,,йогурт питьевой
3264,feelin,, в тексте,feelin
3265,ульт,молоко,,молоко ульт
3266,,манго,,чай манго
3267,крейский,морковный,,морковка по крейски
3268,,фасоль,эко,фасоль эко
3269,,,,соуса
3270,"Кока-кола, Фанта","оркестровый, вкус фруктовых напитков",содержат газировку,напитки
3271,,равиоли,"итальянские, традиционные",рави
3272,,,для декора,блестки для декора
3273,lot,energy,,lot energy
3274,черешня,,,соль черешня
3276,,тарталетки,,тарталетки дл
3277,бичик,,,бичик
3278,,"горкий, пористый",,горький пористый
3279,Maggi,,,magge
3280,фелинни,,,фелинни
3281,,каперсы,,каперсы
3282,,,цветные,цветные карандаши
3283,консилер luxvisage,,,консилер luxvisage
3284,баба,,,баба
3285,хот,,горячий,для хот б
3286,Feastable,N/A,N/A,feastable
3287,,яичное,зак,яйцо зак
3288,start,мороженое,,мороженое start
3291,хранение,,для хранения,для хранения
3292,,,чулки,чулки
3293,,яблочный,,соки детские яблоко
3294,двухстор,, характеристики,двухстор
3296,,паприка,чипсы,чипсы паприка
3297,аккумуляторная,,бритва,аккумуляторная бритва
3299,икар,, в тексте,икар
3301,,груст,лепешка,лепешка гру
3302,,сливочный,,сыр сливочной
3303,brow,,,brow now
3304,кеф,,,кеф
3305,весишель,,,весишель
3306,,,,от мозоли
3307,боконто,,,боконто
3308,энеошети,,,энеошети
3309,,,машинки,машинки
3310,,мясные,,мясные снеки
3312,h&m,,футболка,h m футболка
3313,,грибной,замарошенные,грибы замаро
3314,активированный уголь,,,уголь активированный
3315,адреналин,без сахара,,адреналин без сахара
3317, spice,,специи,онигири spice
3318,шавермма,,,шавермма
3320,verlé,кофе,,кофе verlé
3321,безлактовый,,творог,безлактоный творог
3322,аромамашина,,,аромамащина
3324,меринг,,,меринг
3325,нутраве,,,нутраве
3326,тераки,соус терияки,,соуса терияки
3327,,,котлеты,котлет
3328,,молочный,"десерт, с бисквитом",молочный десерт с бисквитом
3329,,цыпленок,,паста цыпленок
3330,бент,,,бенто
3331,моенез,,,моенез
3332,,печенье,,печенье ф
3333,домик,,,домик а
3334,чисеейк,,,чисеейк
3335,lights,, или типа продукта,lights
